NMLSID,Name,Street,City,State,Zip,IsCompany,LoanCount,LOs,LoanVolume_display,LoanVolume_raw
1685168,"NFM, Inc., Whitehaven, PA Branch (NFM Lending)",653 State Route 940,Whitehaven,PA,18661,False,0,0,$0,0
1710201,"NFM, Inc., Charlotte, NC Branch (NFM Lending)",3440 Toringdon Way,Charlotte,NC,28277,False,0,0,$0,0
1726112,"NFM, Inc., Cornelius, NC Branch (NFM Lending)",19109 West Catawba Avenue,Cornelius,NC,28031,False,0,0,$0,0
1740356,"NFM, Inc., Marlton, NJ Branch (NFM Lending)","1000 Lincoln Drive East, Suite 2B",Marlton,NJ,08053,False,0,0,$0,0
1743887,"NFM, Inc., Philadelphia, PA Branch (NFM Lending)",325-41 Chestnut Street,Philadelphia,PA,19106,False,0,0,$0,0
1746855,"NFM, Inc., Charlotte, NC Branch (NFM Lending)",101 S. Kings Drive,Charlotte,NC,28204,False,0,0,$0,0
1770329,"NFM, Inc., Potomac, MD Branch (NFM Lending)",10244 River Road,Potomac,MD,20854,False,0,0,$0,0
1776367,"NFM, Inc., Frederick, MD Branch (NFM Lending)",241 E 4th Street,Frederick,MD,21701,False,53,2,"$19,415,315",19415315
1776634,"NFM, Inc., Bridgeport, WV Branch (NFM Lending)",202 East Main Street,Bridgeport,WV,26330,False,0,0,$0,0
1792490,"NFM, Inc., Southern Pines, NC Branch (NFM Lending)",170 N. Bennett Street,Southern Pines,NC,28387,False,0,0,$0,0
1792579,"NFM, Inc., Grove City, OH Branch (NFM Lending)",1660 Gateway Circle South,Grove City,OH,43123,False,170,4,"$42,189,994",42189994
1794721,"NFM, Inc., Glendale, AZ Branch (NFM Lending Inc. (FN))",6751 North Sunset Boulevard,Glendale,AZ,85305,False,0,0,$0,0
1798551,"NFM, Inc., Tampa, FL Branch (NFM Lending)",4950 W. Kennedy Blvd,Tampa,FL,33609,False,0,0,$0,0
1800595,"NFM, Inc., Sarasota, FL Branch (NFM Lending)",2639 Fruitville Road,Sarasota,FL,34237,False,11,2,"$3,902,018",3902018
1811950,"NFM, Inc., Saint Petersburg, FL Branch (NFM Lending)",3035 5th Avenue North,Saint Petersburg,FL,33713,False,0,0,$0,0
1815313,"NFM, Inc., St. Petersburg, FL Branch (NFM Lending)",1100 4th Street North,St. Petersburg,FL,33701,False,0,0,$0,0
1815316,"NFM, Inc., Largo, FL Branch (NFM Lending)",14581 Walsingham Road,Largo,FL,33774,False,0,0,$0,0
1818038,"NFM, Inc., Ashburn, VA Branch (NFM Lending)",19775 Belmont Executive Plaza,Ashburn,VA,20147,False,408,35,"$190,174,396",190174396
1822999,"NFM, Inc., Pinehurst, NC Branch (NFM Lending)",75 Community Road,Pinehurst,NC,28374,False,386,8,"$158,120,824",158120824
1825376,"NFM, Inc., Warwick, RI Branch (NFM Lending Partners)",51 Jefferson Blvd,Warwick,RI,02888,False,574,13,"$228,587,238",228587238
1825379,"NFM, Inc., Timonium, MD Branch (NFM Lending Partners)",1954 Greenspring Drive,Timonium,MD,21093,False,387,17,"$162,556,063",162556063
1827358,"NFM, Inc., Midlothian, VA Branch (NFM Lending)",1 Park West Circle,Midlothian,VA,23114,False,145,0,"$94,142,358",94142358
1827364,"NFM, Inc., Lincoln, RI Branch (NFM Lending Partners)",132 Old River Road,Lincoln,RI,02865,False,0,0,$0,0
1829238,"NFM, Inc., Delray Beach, FL Branch (NFM Lending)",35 SE 6th Ave,Delray Beach,FL,33483,False,135,4,"$77,907,049",77907049
1830748,"NFM, Inc., North Attleboro, MA Branch (NFM Lending Partners)","500 East Washington Street,",North Attleboro,MA,02760,False,130,6,"$58,277,941",58277941
1832903,"NFM, Inc., Cockeysville, MD Branch (NFM Lending Partners)",50 Scott Adam Road,Cockeysville,MD,21030,False,0,0,$0,0
1837395,"NFM, Inc., York, PA Branch (NFM Lending)",2930 Carol Road,York,PA,17402,False,0,0,$0,0
1837412,"NFM, Inc., York, PA Branch (NFM Lending)",2056 Springwood Road,York,PA,17403,False,0,0,$0,0
